["_4_256_256_0.01_0.99_0.95_0.0001_100000", 450.0]
["_4_32_256_0.01_0.99_0.95_1e-05_100000", 350.0]
["_4_32_512_0.01_0.99_0.95_1e-05_100000", 350.0]
["_4_512_512_0.01_0.99_0.95_1e-06_100000", 325.0]
["_4_32_1024_0.01_0.99_0.95_0.0001_100000", 325.0]
["_4_32_1024_0.01_0.99_0.95_1e-05_100000", 275.0]
["_4_512_1024_0.01_0.99_0.95_1e-06_100000", 275.0]
["_4_64_512_0.01_0.99_0.95_1e-06_100000", 275.0]
["_4_32_512_0.01_0.99_0.95_0.0001_100000", 250.0]
["_4_32_1024_0.01_0.99_0.95_1e-06_100000", 250.0]
["_4_64_256_0.01_0.99_0.95_0.0001_1000.0", 250.0]
["_4_256_512_0.01_0.99_0.95_1e-05_100000", 250.0]
["_4_128_256_0.01_0.99_0.95_1e-05_100000", 250.0]
["_4_128_256_0.01_0.99_0.95_1e-07_100000", 225.0]
["_4_128_512_0.01_0.99_0.95_1e-06_100000", 225.0]
["_4_512_512_0.01_0.99_0.95_1e-05_100000", 200.0]
["_4_256_512_0.01_0.99_0.95_1e-06_100000", 200.0]
["_4_32_512_0.01_0.99_0.95_1e-06_100000", 200.0]
["_4_128_1024_0.01_0.99_0.95_1e-06_100000", 200.0]
["_4_64_256_0.01_0.99_0.95_1e-05_100000", 200.0]
["_4_128_512_0.01_0.99_0.95_1e-05_100000", 175.0]
["_4_128_1024_0.01_0.99_0.95_1e-05_100000", 175.0]
["_4_512_512_0.01_0.99_0.95_0.0001_100000", 175.0]
["_4_512_1024_0.01_0.99_0.95_1e-05_100000", 150.0]
["_4_128_256_0.01_0.99_0.95_1e-06_100000", 150.0]
["_4_64_512_0.01_0.99_0.95_1e-05_100000", 150.0]
["_4_64_256_0.01_0.99_0.95_0.0001_100000", 150.0]
["_4_32_256_0.01_0.99_0.95_1e-06_100000", 150.0]
["_4_64_512_0.01_0.99_0.95_0.001_100000", 150.0]
["_4_32_256_0.01_0.99_0.95_0.001_100000", 125.0]
["_4_64_1024_0.01_0.99_0.95_0.0001_100000", 125.0]
["_4_256_256_0.01_0.99_0.95_1e-06_100000", 125.0]
["_4_32_256_0.01_0.99_0.95_1e-07_100000", 125.0]
["_4_256_1024_0.01_0.99_0.95_1e-06_100000", 125.0]
["_4_32_1024_0.01_0.99_0.95_0.001_100000", 125.0]
["_4_256_512_0.01_0.99_0.95_0.0001_100000", 125.0]
["_4_128_256_0.01_0.99_0.95_0.0001_100000", 125.0]
["_4_64_256_0.01_0.99_0.95_1e-06_100000", 125.0]
["_4_128_1024_0.01_0.99_0.95_0.0001_100000", 100.0]
["_4_64_256_0.01_0.99_0.95_1e-07_100000", 100.0]
["_4_256_256_0.01_0.99_0.95_1e-05_100000", 75.0]
["_4_128_512_0.01_0.99_0.95_0.0001_100000", 75.0]
["_4_64_1024_0.01_0.99_0.95_1e-06_100000", 75.0]
["_4_64_512_0.01_0.99_0.95_0.0001_100000", 75.0]
["_4_128_512_0.01_0.99_0.95_0.001_100000", 75.0]
["_4_256_1024_0.01_0.99_0.95_1e-05_100000", 25.0]
["_4_128_256_0.01_0.99_0.95_0.001_100000", 25.0]
["_4_512_1024_0.01_0.99_0.95_0.001_100000", 25.0]
["_4_256_1024_0.01_0.99_0.95_0.001_100000", 0.0]
["_4_64_1024_0.01_0.99_0.95_1e-05_100000", 0.0]
["_4_256_256_0.01_0.99_0.95_0.001_100000", 0.0]
["_4_256_512_0.01_0.99_0.95_0.001_100000", 0.0]
["_4_64_256_0.01_0.99_0.95_0.001_100000", 0.0]
["_4_512_512_0.01_0.99_0.95_0.001_100000", 0.0]
["_4_64_1024_0.01_0.99_0.95_0.001_100000", 0.0]
["_4_256_1024_0.01_0.99_0.95_0.0001_100000", 0.0]
["_4_512_1024_0.01_0.99_0.95_0.0001_100000", 0.0]
["_4_32_512_0.01_0.99_0.95_0.001_100000", 0.0]
["_4_128_1024_0.01_0.99_0.95_0.001_100000", 0.0]
["_4_32_256_0.01_0.99_0.95_0.0001_100000", 0.0]
